ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,c1a,c1b,c1c,c2a,c2b,c2c,c3a,c3b,c3c,c4a,c4b,c4c,c5a,c5b,c5c,c6a,c6b,c6c,c7,c8,c9a,c9b,c9c,c11b,c11c,c1,c2,c3,c4,c5,c6,c9,c10,c11,24 data?,36 data?,45 data?,58 data?,80 data?,SpNum,H data?,J data?,K data?,HJKNum,c2 met?,c3 met?,c4 met?,c5 met?,c6 met?,c9 met?,c11 met?,sp rel?,HJK rel?,YSO Score,24 without 58/80,New name
12368,296.20078,-14.73786,17.85,0.1,0.95,17.5,0.13,0.92,16.15,0.09,1.17,14.42,0.09,1.1,8.4,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,172
12058,296.20091,-14.8756,17.66,0.14,0.96,17.48,0.21,0.78,14.85,0.14,0.92,12.93,0.11,0.99,5.55,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,4,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,173
17821,296.20144,-14.87295,18.18,0.12,0.07,17.92,0.12,0.23,16.32,0.1,-0.23,13.94,0.16,0.47,6.23,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,0,4,0,174
17634,296.20152,-14.87649,18.14,0.15,0.74,17.9,0.16,0.79,14.81,0.12,0.46,13.32,0.12,0.78,6.45,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,175
7565,296.2018,-14.73825,17.07,0.06,-0.09,16.94,0.08,-0.04,16.99,0.13,-9999,15.26,0.13,0.06,9.02,0.05,0.401009124274889,296.201691,-14.738214,18.404,0.074,17.71,0.062,17.536,0.066,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,5,1,1,1,3,0,0,1,1,1,0,0,1,1,3,0,176
169,296.20188,-14.8746,14.26,0.06,0.19,13.05,0.06,-0.02,11.53,0.04,0.05,10.07,0.06,0.38,4.37,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,0,1,0,6,0,177
18272,296.20204,-14.78636,18.15,0.09,2.72,17.95,0.13,3.08,14.48,0.03,-9999,13.98,0.04,-9999,12.14,-9999,0.139203022045038,296.202057,-14.786325,19.678,0.215,18.832,0.164,18.615,0.165,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,4,1,0,1,2,1,1,1,0,0,1,1,1,1,4,0,178
8773,296.20219,-14.73906,17.09,0.11,-0.05,17.13,0.12,0.23,15.61,0.06,-0.4,14.5,0.05,0.33,8.95,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,179
8836,296.20237,-14.87587,17.13,0.11,0.62,17.14,0.16,0.85,14.29,0.13,0.35,12.6,0.1,0.66,5.92,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0,6,0,180
14261,296.20271,-14.88285,17.43,0.08,0.32,17.66,0.09,0.15,16.14,0.06,-0.23,14.75,0.1,0.25,9.04,0.06,0.269458351341126,296.202637,-14.882825,18.698,0.095,17.885,0.071,18.113,0.108,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,1,1,1,0,1,1,1,1,1,1,5,1,1,1,3,0,0,1,1,1,1,1,1,1,4,0,181
12534,296.20274,-14.73843,17.65,0.13,0.37,17.52,0.15,0.5,16.82,0.21,0.93,14.57,0.07,0.02,9.02,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,4,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,182
